0.379564	28.4665	Out
5.79643	10.5405	In
1.67235	14.3369	In
4.761	10.2378	In
7.48293	9.61694	In
3.13056	24.1684	Out
4.74513	7.38154	In
2.21918	7.26412	In
5.65051	7.69203	In
5.40147	25.606	Out
3.96473	9.80973	In
0.562263	27.3395	Out
5.60412	7.74164	In
8.19327	25.6394	Out
4.85321	16.9379	Out
5.93335	15.6983	Out
5.13479	5.18934	In
8.74627	20.4214	Out
6.50874	10.5218	In
0.219723	11.975	In
6.71291	10.0508	In
2.0478	4.37411	In
5.81079	12.8009	Out
3.87941	4.38392	In
6.83099	27.8426	Out
9.99662	2.38716	In
2.55079	1.67666	In
9.90889	24.4647	Out
3.13943	24.3065	Out
6.70137	23.9779	Out
3.74813	7.90416	In
3.22542	26.6488	Out
4.3645	5.91506	In
5.69006	2.61974	In
5.47895	17.7294	Out
4.86492	6.57559	In
9.26006	20.7381	Out
3.6499	15.2126	Out
1.17969	22.5879	In
6.53216	24.032	Out
6.8102	19.5864	Out
8.8064	28.083	Out
7.08768	26.1459	Out
7.5159	0.681326	In
6.81745	12.6518	In
8.21975	1.69676	In
6.85199	4.33551	In
9.44851	3.64947	In
3.41685	15.4157	Out
2.08974	26.6874	Out
1.04836	20.864	In
1.08767	0.92526	In
3.86736	14.2127	Out
5.37928	15.1412	Out
2.26688	5.73433	In
3.05773	27.2312	Out
8.44023	5.5924	In
8.43807	16.5837	Out
0.579422	17.8619	In
5.75502	22.1906	Out
0.171233	11.9243	In
7.96246	21.0697	Out
5.41994	22.2329	Out
8.23971	26.5104	Out
2.54955	0.988338	In
7.7326	10.7937	In
7.2841	26.4608	Out
3.90632	3.45438	In
3.55784	27.8568	Out
6.19852	17.4742	Out
1.19704	27.7687	Out
4.9018	28.9118	Out
1.12038	10.0196	In
5.16518	5.09941	In
9.29383	2.7606	In
9.09668	28.3952	Out
4.89497	21.1774	Out
6.48828	0.944713	In
4.47011	14.184	Out
9.1517	21.059	Out
5.05744	20.6529	Out
0.617562	7.0246	In
